,doi,text,label,split
0,10.1002/smll.201805479,"Although the knowledge obtained from LIBs is helpful, designing safe electrolytes and obtaining stable interphases in Na-ion batteries is still a huge challenge.",macro,train
1,10.1039/c4ee03759f,This study highlights the importance of electrolyte selection and voltage control in improving the performance of rechargeable Na/FeS2 cells.,no,train
2,10.1039/c6cc04625h,The charge transfer resistances of practical sodium-ion battery electrodes in an ionic liquid (IL) electrolyte are unexpectedly low.,micro,train
3,10.1002/chem.201703081,"However, comprehensive investigation of the acid function in the chemical reaction and crystal growth process is necessary.",macro,train
4,10.1039/c5cc02564h,"As shown in the enlarged TEM image (Fig. 3(e)), aggregation of sodiated products seems to result in the cracking of the particles, which may be responsible for the poor electrochemical performance of bare CoS2 electrodes.",both,train
5,10.1021/acs.jpcc.7b05303,These three layers are stacked together by weak van der Waals (vdW) interactions.,no,train
6,10.1016/j.electacta.2019.135533,"These high capacity, high rate capability and long cycle life enable the PB material to be a competitive cathode for Na-ion batteries.",macro,train
7,10.1016/j.electacta.2018.10.012,"However, the inferior cyclability and reaction kinetics of electrodes toward sodium ions still impedes their further development.",macro,train
8,10.1016/0167-2738(90)90187-v,Significant temperature gradients were detected local to the flaw tip during electrolysis.,no,train
9,10.1016/j.nanoen.2019.02.042,"Again, we cannot explain the variation of the oxidation for Mn above 4+ on charge; specifically, the oxidation state of Mn is given as 4.51+ at the second charge, which is not valid considering the oxidation limit of Mn4+ based on the Mn3+/4+ redox pair.",micro,train
10,10.1016/j.matlet.2019.02.081,"However, these hybrid type NABs suffer from decreasing voltage efficiency and unstable cyclic characteristics.",micro,train
11,10.1039/c4ta00230j,"In conclusion, NASICON framework favoured Na3V2(PO4)3 has been used as a cathode in sodium-ion based batteries.",no,train
12,10.1016/j.scriptamat.2020.02.023,Na3V2(PO4)2F3 is a prospective cathode material for sodium ion batteries (SIBs) because of its high theoretical capacity.,no,train
13,10.1002/aenm.201801441,"However, its performance has been plagued by the limited initial Coulombic efficiency (ICE) and mediocre rate performance.",macro,train
14,10.1016/j.jpowsour.2018.04.077,"P2-Na0.7MnO2 is a potential cathode material for sodium-ion batteries, but its capacity decreases significantly with charge and discharge.",macro,train
15,10.1016/j.electacta.2018.04.150,"Reducing the electrical resistance of these composite electrodes by a careful selection of smaller crystallite sizes (e.g. few hundreds of nanometers), as well as promoting their effective connection in the resulting coatings by well-adhering conductive additives are crucial aspects that need to be addressed to enhance the performances of this type of positive electrode for NIBs.",both,train
16,10.1016/j.jpowsour.2018.06.050,"However, the rising cost of lithium sources has driven researchers to investigate sustainable alternatives for energy storage.",intro,train
17,10.1016/j.jelechem.2019.113633,Improving rechargeable Na-ion batteries (NIB) with high specific capacity and stability is still a big challenge.,intro,train
18,10.1039/c5cc04422g,"First, a graphene oxide hydrogel was prepared from a graphene oxide suspension by a hydrothermal method.",no,train
19,10.1016/j.apcatb.2018.12.031,"However, these outstanding theoretical energy density performances cannot be achieved because undesirable sluggish oxygen evolution reaction (OER) and oxygen reduction reaction (ORR) reaction kinetics on the air cathode side causes the high overpotential gap and low round-trip efficiencies during charge-discharge process.",both,train
20,10.1016/j.electacta.2017.05.175,"Combining POE/PC solvents, didn't allow obtaining sufficient blend's conductivities.",micro,train
21,10.1039/c3cc47557c,"In summary, we have demonstrated the capabilities of NASICON Fe2(SO4)3 as a sodium-intercalating electrode material.",no,train
22,10.1021/cm202076g,Its structure consists of clusters of ten TiO6 octahedra with sodium atoms sitting in either an octahedral or.,no,train
23,10.1016/j.nanoen.2019.03.058,"Compared with the LIBs, the larger ionic radius and heavier ionic weight of the sodium ion may adversely affect the electrochemical properties of the SIBs.",micro,train
24,10.1002/ente.201700530,"Their findings highlight the importance of the synthesis conditions on controlling the microstructure of hard carbon, which ultimately affects their electrochemical behavior.",both,train
25,10.1016/j.cej.2019.03.251,"Herein, a chemical bonded Na0.44MnO2 (NMO) plates are successfully synthesized via a polyvinylpyrrolidone-assisted sol-gel route followed by annealing process.",no,train
26,10.1002/anie.201802672,"Consequently, the SnO2-x/C composite exhibits remarkable reversibility of the Sn-SnO2 conversion and high specific capacity with excellent cyclic stability.",no,train
27,10.1016/j.jallcom.2016.08.080,"Traditional cathode materials (LiCoO2, LiMn2O4, LiFePO4) have intrinsic limitations in terms of capacity, which depend on Li+ intercalation/deintercalation that use only one unit valence change per cation.",both,train
28,10.1021/cm202076g,large scale faces controversial debates on lithium availability and cost.,no,train
29,10.1016/j.jpowsour.2016.05.003,"Rechargeable aqueous batteries are very attractive as a promising alternative energy storage system, although their reversible capacity is typically limited.",macro,train
30,10.1039/c6ta04986a,"However, an obvious upshift of the Fermi level could be observed in all systems.",no,train
31,10.1002/adma.201305522,"This phenomenon may be attributed to the severe degradation, partial dissolution of electrode materials in electrolyte, larger metallic sodium consumption and more side reactions at initial cycles under lower current rates.When the current is turned back to 1 C, about 99.3% of the capacity is recovered and there is no obvious capacity loss (only 3.0%) after the subsequent 60 cycles.",no,train
