doi,text,label,split
10.1002/aenm.201700087,"Neither mechanical milling nor slurry casting was needed, thus improving the energy density of batteries.",both,test
10.1039/c9ra02257k,"Hydrothermal/solvothermal synthesis is an energy-saving alternative to high-temperature annealing, allowing the reaction to be conducted under significantly milder conditions (<200 degC).",both,train
10.1039/c5cc01504a,"Compared with conventional two-step and high temperature processes, this new simple approach can significantly decrease the process cost of the materials.",both,train
10.1002/ente.201901304,"Smaller particle size in case of SPS-synthesized samples results from the rapidity of the SPS procedure yielding little to no particle growth proving a high efficiency of such synthesis technique, especially when maintaining the small particle size is crucial or beneficial for the future applications.",both,test
10.1016/j.nanoen.2018.02.053,"Hu et al. have optimized the synthesis process by using a low temperature solvothermal method, and the particle size was reduced to tens of nanometers.",both,train
10.1016/j.nanoen.2018.02.053,"Consequently, the NVPF-Ti0.14+ via a VSU-doping process (Ti source: TiO2) presents a maximum particle size distribution(~100 nm), and corresponds to a relatively poor rate performance, while the NVPF-Ti0.12+ via the VSC-doping process (Ti source: TiO) possesses a minimum particle size distribution (~40 nm) and exhibits the highest initial specific capacity of 125 mA h g-1 at 0.2 C and an excellent high rate capability (104 mA h g-1 at 40 C, 81 mA h g-1 at 80 C, 41 mA h g-1 at 200 C), surpassing most of the reported results.",both,train
10.1002/smll.201900356,"This two-step strategy makes sure that NVOPF can be prepared by ESD, since it avoids the loss of F element during synthesis.",both,train
10.1002/smll.201900356,"This approach does not need high temperature annealing, which saves energy for the synthesis.",both,train
10.1016/j.jcis.2018.07.114,"In the hydrothermal synthesis of pristine NVPF material, reaction temperature has been optimized as the primary factor affecting the charge/discharge performance of resultant NVPF material.",both,train
10.1039/c6ta01023g,"In particular, controlling the size or microstructure of particles on the nanoscale would intensify the electrode performance due to the increased specific surface areas or possible micro-channels for Na+ ion transport and short transport distance.",both,dev
10.1039/c7ta05680j,"Unlike traditional solid-state routes, the polyol route is carried out at a markedly lower temperature (<320 degC) with an added benefit of the polyol medium serving as a mild reducing agent, which favors the preparation of metal fluorophosphates in their reduced state.",both,train
10.1021/acsami.7b10637,"Among all processing methods, solution combustion route benchmarks the shortest annealing duration (ca. 1 min) for fluorophosphate formation.",both,test
10.1039/d0qi01361g,"Therefore, this method creatively provides a new idea for the synthesis of other PBAs, such as Mn-PBAs, Co-PBAs, or even other materials that currently are fabricated with poor crystallinity due to their rapid nucleation and growth.",no,test
10.1021/acs.chemmater.8b02066,This low-cost soft chemistry route leads to fine particles with high purity and high crystallinity.,both,train
10.1016/j.matdes.2019.108287,"In contrast, doping engineering is a more effective and practical method to satisfy the requirement of electrochemical properties enhancement and large-scale synthesis's homogeneity simultaneously.",both,test
